date,close,date,high,low,open,quoteVolume,volume,weightedAverage
2015-12-31 16:00:00,1.90000001,1451577600,1.90000001,1.90000001,1.90000001,0.0,0.0,1.90000001
2015-12-31 20:00:00,1.90000001,1451592000,1.90000001,1.90000001,1.90000001,0.0,0.0,1.90000001
2016-01-01 00:00:00,2.56311504,1451606400,2.56311504,2.54876253,2.56311503,9.65543787,24.69333538,2.5574537
2016-01-01 04:00:00,2.56311504,1451620800,2.56311504,2.56311504,2.56311504,0.0,0.0,2.56311504
2016-01-01 08:00:00,2.56311504,1451635200,2.56311504,2.56311504,2.56311504,0.0,0.0,2.56311504
2016-01-01 12:00:00,2.56311504,1451649600,2.56311504,2.56311504,2.56311504,0.0,0.0,2.56311504
2016-01-01 16:00:00,2.56311504,1451664000,2.56311504,2.56311504,2.56311504,0.0,0.0,2.56311504
2016-01-01 20:00:00,2.56311504,1451678400,2.56311504,2.56311504,2.56311504,0.0,0.0,2.56311504
2016-01-02 00:00:00,2.56311504,1451692800,2.56311504,2.56311504,2.56311504,0.0,0.0,2.56311504
2016-01-02 04:00:00,2.56311504,1451707200,2.56311504,2.56311504,2.56311504,0.0,0.0,2.56311504
2016-01-02 08:00:00,2.56311504,1451721600,2.56311504,2.56311504,2.56311504,0.0,0.0,2.56311504
2016-01-02 12:00:00,2.00000183,1451736000,2.00000183,2.00000183,2.00000183,0.00671221,0.01342443,2.00000183
2016-01-02 16:00:00,2.00000183,1451750400,2.00000183,2.00000183,2.00000183,0.0,0.0,2.00000183
2016-01-02 20:00:00,2.00000183,1451764800,2.00000183,2.00000183,2.00000183,0.0,0.0,2.00000183
2016-01-03 00:00:00,2.00000183,1451779200,2.00000183,2.00000183,2.00000183,0.0,0.0,2.00000183
2016-01-03 04:00:00,2.00000183,1451793600,2.00000183,2.00000183,2.00000183,0.0,0.0,2.00000183
2016-01-03 08:00:00,2.00000183,1451808000,2.00000183,2.00000183,2.00000183,0.0,0.0,2.00000183
2016-01-03 12:00:00,2.00000183,1451822400,2.00000183,2.00000183,2.00000183,0.0,0.0,2.00000183
2016-01-03 16:00:00,2.18886518,1451836800,2.18886518,2.1754667,2.1754667,0.01296688,0.02829368,2.18199602
2016-01-03 20:00:00,2.18886518,1451851200,2.18886518,2.18886518,2.18886518,0.0,0.0,2.18886518
2016-01-04 00:00:00,2.27865363,1451865600,2.27865363,2.18575365,2.18575365,0.02257989,0.05008531,2.21813833
2016-01-04 04:00:00,2.27865363,1451880000,2.27865363,2.27865363,2.27865363,0.0,0.0,2.27865363
2016-01-04 08:00:00,2.27865363,1451894400,2.27865363,2.27865363,2.27865363,0.0,0.0,2.27865363
2016-01-04 12:00:00,2.27865363,1451908800,2.27865363,2.27865363,2.27865363,0.0,0.0,2.27865363
2016-01-04 16:00:00,2.27865363,1451923200,2.27865363,2.27865363,2.27865363,0.0,0.0,2.27865363
2016-01-04 20:00:00,2.05757502,1451937600,2.05869453,2.05757502,2.05869453,0.00481394,0.00990773,2.05813477
2016-01-05 00:00:00,2.05757502,1451952000,2.05757502,2.05757502,2.05757502,0.0,0.0,2.05757502
2016-01-05 04:00:00,2.05757502,1451966400,2.05757502,2.05757502,2.05757502,0.0,0.0,2.05757502
2016-01-05 08:00:00,2.05757502,1451980800,2.05757502,2.05757502,2.05757502,0.0,0.0,2.05757502
2016-01-05 12:00:00,2.05757502,1451995200,2.05757502,2.05757502,2.05757502,0.0,0.0,2.05757502
2016-01-05 16:00:00,2.05757502,1452009600,2.05757502,2.05757502,2.05757502,0.0,0.0,2.05757502
2016-01-05 20:00:00,2.00000183,1452024000,2.05490918,2.00000183,2.05490918,0.05830459,0.11758143,2.0166754
2016-01-06 00:00:00,2.00000183,1452038400,2.0011217,2.00000183,2.0011217,0.03670363,0.07340945,2.00005988
2016-01-06 04:00:00,2.00000183,1452052800,2.00000183,2.00000183,2.00000183,0.0,0.0,2.00000183
2016-01-06 08:00:00,2.00000183,1452067200,2.00000183,2.00000183,2.00000183,0.0,0.0,2.00000183
2016-01-06 12:00:00,2.00000183,1452081600,2.00000183,2.00000183,2.00000183,0.0,0.0,2.00000183
2016-01-06 16:00:00,2.00113864,1452096000,2.00113864,2.00113864,2.00113864,0.00100001,0.00200115,2.00113864
2016-01-06 20:00:00,2.00113864,1452110400,2.00113864,2.00113864,2.00113864,0.0,0.0,2.00113864
2016-01-07 00:00:00,2.00113864,1452124800,2.00113864,2.00113864,2.00113864,0.0,0.0,2.00113864
2016-01-07 04:00:00,2.00113864,1452139200,2.00113864,2.00113864,2.00113864,0.0,0.0,2.00113864
2016-01-07 08:00:00,2.00113864,1452153600,2.00113864,2.00113864,2.00113864,0.0,0.0,2.00113864
2016-01-07 12:00:00,2.0022312,1452168000,2.0022312,2.0022312,2.0022312,0.00192935,0.003863,2.0022312
2016-01-07 16:00:00,2.0022312,1452182400,2.0022312,2.0022312,2.0022312,0.01204676,0.02412039,2.0022312
2016-01-07 20:00:00,2.0022312,1452196800,2.0022312,2.0022312,2.0022312,0.0,0.0,2.0022312
2016-01-08 00:00:00,2.25401058,1452211200,2.25401058,2.05611423,2.05611423,0.00299675,0.00664963,2.21894788
2016-01-08 04:00:00,2.25401058,1452225600,2.25401058,2.25401058,2.25401058,0.0,0.0,2.25401058
2016-01-08 08:00:00,2.25401058,1452240000,2.25401058,2.25401058,2.25401058,0.0,0.0,2.25401058
2016-01-08 12:00:00,2.25401058,1452254400,2.25401058,2.25401058,2.25401058,0.0,0.0,2.25401058
2016-01-08 16:00:00,2.25401058,1452268800,2.25401058,2.25401058,2.25401058,0.0,0.0,2.25401058
2016-01-08 20:00:00,2.25401058,1452283200,2.25401058,2.25401058,2.25401058,0.0,0.0,2.25401058
2016-01-09 00:00:00,2.25401058,1452297600,2.25401058,2.25401058,2.25401058,0.0,0.0,2.25401058
2016-01-09 04:00:00,2.02594354,1452312000,2.29465478,2.02594354,2.03069954,0.02861313,0.05920049,2.06899753
2016-01-09 08:00:00,2.02594354,1452326400,2.02594354,2.02594354,2.02594354,0.0,0.0,2.02594354
2016-01-09 12:00:00,2.043528,1452340800,2.88,2.02997715,2.02997715,8.19442437,17.84549651,2.17776084
2016-01-09 16:00:00,2.043528,1452355200,2.043528,2.043528,2.043528,0.0,0.0,2.043528
2016-01-09 20:00:00,2.043528,1452369600,2.043528,2.043528,2.043528,0.0,0.0,2.043528
2016-01-10 00:00:00,2.043528,1452384000,2.043528,2.043528,2.043528,0.0,0.0,2.043528
2016-01-10 04:00:00,2.043528,1452398400,2.043528,2.043528,2.043528,0.0,0.0,2.043528
2016-01-10 08:00:00,2.043528,1452412800,2.043528,2.043528,2.043528,0.0,0.0,2.043528
2016-01-10 12:00:00,2.043528,1452427200,2.043528,2.043528,2.043528,0.0,0.0,2.043528
2016-01-10 16:00:00,2.043528,1452441600,2.043528,2.043528,2.043528,0.0,0.0,2.043528
2016-01-10 20:00:00,2.043528,1452456000,2.043528,2.043528,2.043528,0.0,0.0,2.043528
2016-01-11 00:00:00,2.043528,1452470400,2.043528,2.043528,2.043528,0.0,0.0,2.043528
2016-01-11 04:00:00,2.14508115,1452484800,2.14508115,2.14508115,2.14508115,0.02433336,0.05219703,2.14508115
2016-01-11 08:00:00,2.14508115,1452499200,2.14508115,2.14508115,2.14508115,0.0,0.0,2.14508115
2016-01-11 12:00:00,2.14508115,1452513600,2.14508115,2.14508115,2.14508115,0.0,0.0,2.14508115
2016-01-11 16:00:00,2.14508115,1452528000,2.14508115,2.14508115,2.14508115,0.00050148,0.00107571,2.14508115
2016-01-11 20:00:00,2.14508115,1452542400,2.14508115,2.14508115,2.14508115,0.0,0.0,2.14508115
2016-01-12 00:00:00,2.14508115,1452556800,2.14508115,2.14508115,2.14508115,0.0,0.0,2.14508115
2016-01-12 04:00:00,2.14508115,1452571200,2.14508115,2.14508115,2.14508115,0.0,0.0,2.14508115
2016-01-12 08:00:00,2.14508115,1452585600,2.14508115,2.14508115,2.14508115,0.0,0.0,2.14508115
2016-01-12 12:00:00,2.14508115,1452600000,2.14508115,2.14508115,2.14508115,0.0,0.0,2.14508115
2016-01-12 16:00:00,2.14508115,1452614400,2.14508115,2.14508115,2.14508115,0.0,0.0,2.14508115
2016-01-12 20:00:00,2.14508115,1452628800,2.14508115,2.14508115,2.14508115,0.0,0.0,2.14508115
2016-01-13 00:00:00,2.14508115,1452643200,2.14508115,2.14508115,2.14508115,0.0,0.0,2.14508115
2016-01-13 04:00:00,2.14508115,1452657600,2.14508115,2.14508115,2.14508115,0.0,0.0,2.14508115
2016-01-13 08:00:00,2.14508115,1452672000,2.14508115,2.14508115,2.14508115,0.0,0.0,2.14508115
2016-01-13 12:00:00,2.14508115,1452686400,2.14508115,2.14508115,2.14508115,0.0,0.0,2.14508115
2016-01-13 16:00:00,2.14508115,1452700800,2.14508115,2.14508115,2.14508115,0.0,0.0,2.14508115
2016-01-13 20:00:00,2.14508115,1452715200,2.14508115,2.14508115,2.14508115,0.0,0.0,2.14508115
2016-01-14 00:00:00,2.14508115,1452729600,2.14508115,2.14508115,2.14508115,0.0,0.0,2.14508115
2016-01-14 04:00:00,2.16546801,1452744000,2.16546801,2.16546801,2.16546801,0.0017067,0.0036958,2.16546801
2016-01-14 08:00:00,2.16546801,1452758400,2.16546801,2.16546801,2.16546801,0.0,0.0,2.16546801
2016-01-14 12:00:00,2.16546801,1452772800,2.16546801,2.16546801,2.16546801,0.02632662,0.05700945,2.16546801
2016-01-14 16:00:00,2.08,1452787200,2.16546801,2.08,2.16546801,0.02597831,0.05457742,2.10088436
2016-01-14 20:00:00,2.08,1452801600,2.08,2.08,2.08,0.05021957,0.1044567,2.08
2016-01-15 00:00:00,2.08,1452816000,2.08,2.08,2.08,0.0,0.0,2.08
2016-01-15 04:00:00,2.08,1452830400,2.08,2.08,2.08,0.0157151,0.0326874,2.08
2016-01-15 08:00:00,1.82000003,1452844800,2.10006207,1.82000003,2.10006207,14.48736133,29.04033947,2.00452924
2016-01-15 12:00:00,1.70074948,1452859200,1.82000003,1.70074948,1.82000003,42.97506398,76.49261357,1.77993018
2016-01-15 16:00:00,1.70074948,1452873600,1.82000002,1.70074948,1.82000002,5.93546685,10.10111213,1.70182268
2016-01-15 20:00:00,1.70074948,1452888000,1.70074948,1.70074948,1.70074948,5.1872992,8.82229641,1.70074948
2016-01-16 00:00:00,1.70074948,1452902400,1.70074948,1.70074948,1.70074948,0.01615896,0.02748234,1.70074948
2016-01-16 04:00:00,1.70074948,1452916800,1.70074948,1.70074948,1.70074948,0.0,0.0,1.70074948
2016-01-16 08:00:00,1.70074948,1452931200,1.70074948,1.70074948,1.70074948,16.34883522,27.80527299,1.70074948
2016-01-16 12:00:00,1.70074948,1452945600,1.70074948,1.70074948,1.70074948,0.0,0.0,1.70074948
2016-01-16 16:00:00,1.7000008,1452960000,1.70074948,1.7000008,1.70074948,8.29870542,14.10872221,1.70011122
2016-01-16 20:00:00,1.61000002,1452974400,1.61000002,1.61000002,1.61000002,0.04070584,0.0655364,1.61000002
2016-01-17 00:00:00,1.61000002,1452988800,1.61000002,1.61000002,1.61000002,0.0,0.0,1.61000002
2016-01-17 04:00:00,1.61000002,1453003200,1.61000002,1.61000002,1.61000002,0.0,0.0,1.61000002
2016-01-17 08:00:00,1.61000002,1453017600,1.61000002,1.61000002,1.61000002,0.0,0.0,1.61000002
2016-01-17 12:00:00,1.61000002,1453032000,1.61000002,1.61000002,1.61000002,0.00085522,0.0013769,1.61000002
2016-01-17 16:00:00,1.61000002,1453046400,1.61000002,1.61000002,1.61000002,0.0,0.0,1.61000002
2016-01-17 20:00:00,1.61000001,1453060800,1.99999999,1.61000001,1.99999999,23.37903113,42.19611176,1.80486999
2016-01-18 00:00:00,1.61000001,1453075200,1.61000001,1.61000001,1.61000001,0.0,0.0,1.61000001
2016-01-18 04:00:00,1.61000001,1453089600,1.61000001,1.61000001,1.61000001,0.0,0.0,1.61000001
2016-01-18 08:00:00,1.61000001,1453104000,1.61000001,1.61000001,1.61000001,0.0,0.0,1.61000001
2016-01-18 12:00:00,1.61000001,1453118400,1.61000001,1.61000001,1.61000001,0.00134046,0.00215814,1.61000001
2016-01-18 16:00:00,1.61000001,1453132800,1.61000001,1.61000001,1.61000001,0.0,0.0,1.61000001
2016-01-18 20:00:00,1.61000002,1453147200,1.61000002,1.61000002,1.61000002,3.03300247,4.88313403,1.61000002
2016-01-19 00:00:00,1.61000012,1453161600,1.61000012,1.61000012,1.61000012,1.01390564,1.6323882,1.61000012
2016-01-19 04:00:00,1.61960592,1453176000,1.61960592,1.61960592,1.61960592,17.18056175,27.82573951,1.61960592
2016-01-19 08:00:00,1.61960583,1453190400,1.61960594,1.61960583,1.61960594,0.69238591,1.12139233,1.61960593
2016-01-19 12:00:00,1.61,1453204800,1.61000003,1.61,1.61000003,3.80516468,6.12631517,1.61000001
2016-01-19 16:00:00,1.61,1453219200,1.61000001,1.61,1.61000001,16.07281441,25.87723131,1.61
2016-01-19 20:00:00,1.61,1453233600,1.61,1.61,1.61,0.0,0.0,1.61
2016-01-20 00:00:00,1.31000006,1453248000,1.31000006,1.31000006,1.31000006,0.01250255,0.01637834,1.31000006
